0,1,2,3,4,5,/rlhf-fixed-llama-v3-bs-16_correct,/rlhf-fixed-llama-v3-bs-16_choiceA_probs,/rlhf-fixed-llama-v3-bs-16_choiceB_probs,/rlhf-fixed-llama-v3-bs-16_choiceC_probs,/rlhf-fixed-llama-v3-bs-16_choiceD_probs
What is the term for an organisation that adapts to changes in the environment by quickly responding to shifts in supply and demand conditions?,Opportunistic organisation,Enterprising organisation,International organisation,Agile organisation,D,False,0.29209495,0.31530628,0.16538388,0.22721492
Which of these is not part of the recognised challenges for modern managers?,Micro-managing the workforce,Managing communications,Managing change,Managing the learning organisation,A,False,0.27954048,0.34804243,0.15245561,0.21996152
To what does emotional intelligence refer?,How people view and understand the world.,How people view and understand themselves.,How people view and understand others.,How people view and understand themselves and others.,D,False,0.29144624,0.3454797,0.13680513,0.2262688
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B,False,0.3464435,0.32298985,0.10502058,0.22554605
What are workers primarily motivated by according to the instrumental approach?,Peer recognition,Promotion,Greater freedom,Economic reward,D,False,0.2467661,0.35905695,0.11434461,0.2798323
Which is not a characteristic of corporate social responsibility?,Product safety,Consumer rights,Environmental policies,Price-fixing,D,False,0.24701382,0.40095448,0.14478548,0.20724615
Who was a major protagonist of utilitarianism?,John Stuart Mill,Thomas Hobbes,Karl Marx,Adam Smith,A,True,0.43258804,0.32346863,0.09825744,0.14568587
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A,True,0.3510273,0.3072303,0.13673782,0.20500447
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Dependent,Independent,Interdependent,Collaborative,B,True,0.25572905,0.29895875,0.2298163,0.21549585
Specialisation is a feature of which organisational structure?,Matrix,Divisional,Multi-divisional,Functional,D,False,0.2715169,0.38035983,0.09865251,0.2494708
Which one is not an element in the primary activities of a value chain?,Procurement,Inbound logistics,Outbound logistics,Service,A,False,0.30374599,0.32828492,0.14872281,0.21924622
What is the term for the act of getting individuals to behave in ways that are acceptable to a group?,Indoctrination,Brainwashing,Propaganda,Socialisation,D,True,0.2340024,0.25149173,0.103118725,0.41138712
When does an acquisition take place?,Two equal partners decide to work together.,Two equal partners share resources.,Two unequal partners join together.,Two unequal partners become one after a buyout.,D,False,0.20023422,0.33856505,0.22265811,0.23854263
Who of these is the entrepreneur?,Barack Obama,James Dyson,Damien Hirst,Mo Farah,B,True,0.26888445,0.30643675,0.16671485,0.25796393
Which of these is not an advantage of a virtual team?,Team members can be recruited for their specific skills or experience.,No overhead costs associated with physical buildings.,Conflict can be resolved easily using face-to-face meetings.,Low transport or commuting costs.,C,False,0.24275641,0.3555709,0.16444749,0.23722525
What is the richest form of information?,Telephone,Face-to-face,E-mail,Video conference,B,True,0.2969653,0.37588653,0.1586294,0.16851874
What is the purpose of a 'quality circle'?,Bring together managers and workers to find improvements.,Bring together managers and workers to discuss output.,Bring together managers and workers to review quality of work.,Bring together managers and workers to review targets.,A,False,0.2815049,0.3559981,0.17166121,0.19083576
What is the guiding principle behind New Public Management?,Profit maximisation,Introducing private sector business principles into the public sector,Replacing public management with private sector management,Restructuring public organisations,B,True,0.2453138,0.37252098,0.13928166,0.24288349
Profitability stemming from how well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,False,0.32191077,0.30082974,0.19306019,0.18419927
Functional structures help to create...,teamwork,specialisation,project work groups,multi-skilled employees,B,True,0.2565465,0.32271072,0.16296856,0.2577742
What is a succession plan?,Dismissing an employee for a more favourable employee,A formal process of planning to fill a role that will become vacant,A vote of no confidence in a board member,The formal process of acquiring a new staff member,B,True,0.16390046,0.4823895,0.09997216,0.25373784
What is the definition of a scenario in scenario planning?,An imagined sequence of future events,An unpredictable event,A planned for event,An unplanned for event,A,True,0.34515306,0.27173245,0.1656944,0.21742016
What assumption is the garbage can model of decision making based on?,Limited knowledge and great insight,Limited knowledge but high level of experience,Limited knowledge and uncertainty,Limited knowledge and high risk,C,False,0.30739254,0.27929962,0.2068386,0.20646927
By which principle is utilitarianism defined?,Equality for everyone,Maximisation of outcomes for individuals,The best outcome for the majority of people,The least worst outcome for everybody,C,False,0.1817407,0.42521572,0.17403185,0.21901177
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Group roles,Virtual teamwork,Synergy,Role making,A,False,0.36289915,0.37230593,0.09296657,0.17182833
"What is the term for a process that enables an organisation to assess and demonstrate its social, economic, and environmental benefits and limitation?",Social plan,Social strategy,Social audit,Social account,C,False,0.28678605,0.20374185,0.27100462,0.23846747
What type of organisational culture is most likely to deliver stability and efficiency?,Task culture,Role culture,Power culture,People culture,B,True,0.2729503,0.36114618,0.13951099,0.22639254
Who of the following is a leading writer on contingency theory of leadership?,Rosabeth Kanter,Joan Woodward,Rensis Likert,Fred Fiedler,D,False,0.23885134,0.29790804,0.1910911,0.27214953
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D,False,0.28013188,0.3358865,0.15577687,0.22820479
What is not an advantage of a hierarchical structure?,Clear chain of command,Quick response to change,Discipline and stability,Small span of control,B,True,0.26373616,0.34579632,0.16070719,0.22976026
What is a strategic alliance?,Any form of partnership between one firm and another,Formal agreement committing two or more firms to exchange resources to produce products or services,Formal agreement to share profits from a shared investment,Formal agreement to share knowledge,B,True,0.17791264,0.4136293,0.13843223,0.2700258
What are group norms?,Modes of behaviour that are acceptable to and shared by group members,Modes of behaviour that are shared by some members of the group,Modes of behaviour that challenge group values and beliefs,Modes of behaviour that are different of those of the other group members,A,True,0.40700975,0.28220773,0.11147591,0.19930655
Which of the following is not a recognised type of plan?,Business,Succession,Ad hoc,Financial,C,False,0.3135288,0.31562644,0.15409508,0.21674967
What is the term for the extent to which competition in one country is influenced by competition in other countries?,International trade,Global economics,Global competition,Globalisation,D,False,0.29998702,0.29243872,0.17011142,0.23746274
As what are key factors that reflect the situation of an organisation referred to?,Administrations,Processes,Activities,Contingencies,D,False,0.31571716,0.3176476,0.14106339,0.22557177
Which of these does not form part of the key streams identified by March (1988) in decision making in highly ambiguous environments?,Expectations,Choice opportunities,Problems,Solutions,A,True,0.31140155,0.30990425,0.15669577,0.22199836
What does PEST stand for?,"Political, environmental, strategic, testing","Political, environmental, strategic, technological","Political, economic, strategic, technological","Political, economic, social, technological",D,False,0.20909289,0.3162292,0.24326503,0.23141295
What does the acronym SMART stand for?,"Suitable, measurable, actionable, rewarded and timely","Specific, measurable, actionable, resourced and timely","Standardised, measurable, achievable, rewarded, and timely","Specific, measurable, achievable, rewarded and timely",D,False,0.26575065,0.29827675,0.18748105,0.24849144
Which writer was concerned with the reaction of workers to key characteristics of bureaucracies?,Merton,Weber,Gouldner,Mayo,C,False,0.28974563,0.47063738,0.10010706,0.13950996
What is the optimal span of control?,2,5,7,None of the above,D,False,0.19055432,0.32145572,0.24324898,0.244741
What one of these is not a recognised type of authority?,Executive,Functional,Line management,Supplier,D,False,0.2743906,0.36054897,0.13216859,0.23289183
Which one of the following is not a characteristic of a team?,Minimal and formal knowledge sharing,Collective output,Individual and collective responsibility,Fluid dimension to roles and tasks,A,False,0.26169804,0.3340039,0.17115209,0.23314606
Which of these factors is not one of the competing responsibilities that influence corporate social responsibility?,Ethical,Economic,Discretionary,Technical,D,False,0.31780985,0.35024625,0.14385596,0.18808791
What is the term used in Ansoff's matrix for increasing market share with existing products in existing markets?,Product development,Market penetration,Diversification,Market development,B,True,0.3171835,0.3287867,0.17402446,0.18000533
What is characteristic for the location of a virtual team?,In the same building,In the same industry,In the same country,remotely,D,True,0.17626853,0.26575503,0.18067351,0.3773029
"According to the Five Factor model, 'extraversion' as a personality type is characterised by what type of people?",Good natured,Calm and self-confident,Sensitive and curious,Assertive and sociable,D,False,0.3274852,0.31928822,0.12823111,0.22499552
What is the overriding philosophy underpinning the strategic direction of an organisation?,Vision statement,Mission statement,Strategy statement,Business statement,B,False,0.35498872,0.24256426,0.18903576,0.21341118
What is the term for the action in which managers at an organisation analyse the current situation of their organisation and then develop plans to accomplish its mission and achieve its goals?,Synergy planning,Strategy formulation,Functional planning,SWOT analysis,B,True,0.22090648,0.32783517,0.124720655,0.32653776
What is Frank Gilbreth`s work most noted for?,Working conditions,Time and motion studies,Work psychology,Work as a social setting,B,True,0.3065299,0.38603538,0.12473496,0.18269974
What is another name for contingency planning?,Synergy planning,Ad hoc planning,Business level planning,Scenario planning,D,False,0.25570667,0.3363259,0.12687403,0.2810934
Which feature does not form one of Fayol's 14 principles of management?,Esprit de corps,Initiative,Order,Individualism,D,False,0.30960977,0.32541093,0.14639527,0.21858394
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C,False,0.28431007,0.32309964,0.16213502,0.23045526
Workers' acceptance of change is characteristic of what type of culture?,Team culture,Collaborative culture,Group culture,Collective culture,B,True,0.2668031,0.33964115,0.17192686,0.22162881
What is a virtual organisation?,An organisation that uses information and communications technologies (ICT's) to coordinate activities without physical boundaries between different functions,An organisation that uses internet technologies to sell products to customers,An organisation that manages the supply chain using digital technologies,An organisation that coordinates the workforce via video conferencing,A,True,0.36433116,0.2697881,0.14191853,0.22396228
From what does a chain of command extend?,Bottom to top,Top to bottom,Diagonally,Laterally,B,True,0.3726926,0.3989229,0.10649206,0.121892475
"What do you call a style of leadership that takes account of others' views, opinions and ideas?",Laissez-faire,People-oriented,Democratic,Autocratic,C,False,0.16401616,0.45359617,0.2696994,0.11268827
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D,True,0.23234457,0.28798568,0.07532485,0.40434486
What is the term Tuckman uses for reaching consensus as a group?,Storming,Performing,Forming,Norming,D,False,0.28021264,0.43639573,0.12627283,0.1571188
What theory is built around the principle that 'people make choices regarding how to behave based on values and beliefs'?,Expectancy,Instrumental,Classical,Contingency,A,False,0.28839466,0.33961236,0.15888496,0.21310809
What is the term for decisions limited by human capacity to absorb and analyse information?,Cognitive rationality,Conscious rationality,Bounded rationality,Restricted rationality,C,False,0.2809639,0.29502723,0.24060597,0.18340299
What is a definition of an objective?,A defined specified outcome to be achieved in the long-term,A clear set of goals to be attained given a set number of resources,A clearly defined and measurable outcome to be achieved over a specified timeframe,A set standard of performance agreed by workers and managers,C,False,0.30336243,0.18346,0.28871614,0.22446154
What is not a purpose of an organisational structure?,To coordinate people and resources,To organise lines of communication,To formalise authority,To limit workers' rights,D,False,0.2907961,0.33500254,0.1456314,0.22857001
To what time-frame do strategic plans relate?,Long-term,Medium-term,Short-term,Unspecified time it takes to achieve an aim,A,True,0.3523046,0.29442328,0.14940266,0.20386948
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B,True,0.27258852,0.3036476,0.19047756,0.23328632
'There is no discernible link between planning and performance'. Who is this position held by?,Michael Porter,Milton Friedman,Gary Hamel,Henry Mintzberg,D,False,0.2572628,0.32035747,0.18382622,0.23855354
What does situational theory of leadership emphasise?,Personality traits,Events,Environment,Political situation,B,True,0.2509225,0.3167085,0.23990232,0.19246675
What is intuitive decision making based on?,Guesswork,Gambling,Instinct,Rationality,C,False,0.30189887,0.2816552,0.1607194,0.25572658
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D,False,0.21044992,0.2878183,0.32867125,0.17306054
Which 18th century writer produced a famous book called 'The Wealth of Nations'?,Frederick Taylor,Henry Mintzberg,Adam Smith,Dr Samuel Johnson,C,False,0.39333355,0.2841805,0.25185448,0.070631474
Which one of these characteristics is most commonly associated with the 'rational goal' model of management?,Worker welfare,Health and safety,Interpersonal relationships,Productivity,D,False,0.24090566,0.31937954,0.14692628,0.2927886
In what order do managers typically perform the managerial functions?,"organising, planning, controlling, leading","organising, leading, planning, controlling","planning, organising, leading, controlling","planning, organising, controlling, leading",C,False,0.27965698,0.3075106,0.14875603,0.26407635
How does lateral communication in an organisation occur?,Information passes upwards.,Information passes downwards.,Information is a two-way process.,Information passes between different departments and functions.,D,True,0.15375726,0.28659418,0.2619598,0.2976887
Of what is advertising a form?,Focusing strategy,Differentiation,Cost leadership,Growth,B,False,0.355255,0.2876778,0.13506998,0.22199722
What is not a component of an agile organisation?,Market focus and position,Human resources: multi-skilling,Organisational structure,Project-based culture,D,False,0.26222464,0.34268513,0.18038958,0.21470061
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C,False,0.25964347,0.31335652,0.1974981,0.22950196
Vertical integration forwards is when a firm mergers or acquires another,Towards the source of supply,Towards the consumer,At the same stage of the supply chain,In another industry,B,False,0.2892477,0.26766708,0.22836119,0.21472402
What is the term for an autonomous business entity within an overall corporate enterprise which is set apart from other areas of the business?,Subsidiary,Strategic partnership,Strategic alliance,Strategic business unit,D,False,0.3116237,0.24628858,0.15365909,0.2884286
What is not a characteristic of a corporate social responsibility framework?,Retaining the status quo,Understanding society,Harnessing diversity,Building capacity,A,True,0.34893683,0.3412629,0.13100639,0.17879386
What is a whistleblower?,Someone who reports illegal or unethical acts,Someone who commits illegal or unethical acts,Someone who benefits from illegal or unethical acts,Someone who devises illegal or unethical acts,A,True,0.39444184,0.23455109,0.12586215,0.2451449
What is T-group training?,A group whose aim is transformational change,A group brought together to deliver training programmes,Team training for the purposes of advancing technology,Team building activities involving learning,D,False,0.2823004,0.3236158,0.12916571,0.26491812
What is a social enterprise concerned with?,Profit maximisation,Maximising market share,Providing public service,Running a business to create social benefits,D,True,0.14517261,0.24291581,0.28951862,0.32239297
Which of the following is not part of Schein's model of the formation of culture?,Shared values,Pre-conceptions,Shared beliefs,Norms,B,True,0.31569627,0.35490355,0.11917452,0.21022569
What is not one of the layers of cultural influence?,Social,Business,Organisational,Company,D,False,0.34946087,0.31860557,0.13618478,0.1957488
